pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2012000162,1,1,1,8300,623,714,,19970924,,,,,52,2012,10,30,1,4,5,3,9,3,1,8,3,0,1,1,3,3,6,7,1,1,9,9,9,3,3,1,4,44,442,0,10,1,182365,651499
2012000164,1,1,2,5000,1224,,1,,,,,,20,2012,11,1,1,4,5,5,9,3,1,9,1,0,1,0,2,3,6,,1,9,9,9,4,0,0,9,5,51,511,0,12,1,178200,663912
2012000167,1,1,1,6200,310,508,,8040033,,,,,20,2012,11,4,1,4,5,1,9,3,1,9,0,3,1,1,1,3,3,7,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176816,658103
2012000168,1,1,2,6100,953,,8,,,,,,20,2012,11,7,1,4,5,4,9,2,1,9,1,0,1,1,3,3,6,,1,1,9,9,9,1,2,1,5,51,512,0,14,1,183878,665007
2012000170,1,1,2,7700,302,,9,,,,,,14,2012,11,8,1,4,5,5,9,3,1,8,0,2,1,1,3,3,3,,1,1,9,9,9,0,0,9,2,23,234,0,16,1,227341,724488
2012000172,1,1,1,6600,304,317,,9170022,,,,,20,2012,11,14,1,4,5,4,9,3,1,9,0,3,1,1,2,3,6,7,1,2,9,9,9,3,3,1,5,51,513,0,14,1,179749,658110
2012000173,1,1,1,5000,367,392,,53110001,,,,,20,2012,11,15,1,4,5,5,1,3,1,9,0,3,1,1,2,3,3,2,1,1,9,9,9,3,3,1,5,51,511,0,12,1,183831,669560
2012000176,1,1,1,8600,205,212,,9510112,,,,,20,2012,11,18,1,4,5,1,1,3,1,9,0,2,1,1,3,3,6,2,1,1,9,9,9,0,0,9,5,51,512,0,14,1,182906,666274
2012000177,1,1,2,6300,0,,9999,,,,,,20,2012,11,19,1,4,5,2,9,3,1,9,0,3,1,1,2,3,6,5,1,1,9,9,9,4,3,1,5,51,512,0,16,2,182245,664174
2012000179,1,1,1,8600,719,802,,9020123,,,,,20,2012,11,22,1,4,5,5,1,3,1,9,3,0,1,1,2,3,6,2,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183028,665367
2012000180,1,1,2,8600,1117,,32,,,,,,20,2012,11,18,1,4,5,1,9,2,1,9,3,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183794,664156
2012000182,1,1,2,5000,934,,1,,,,,,20,2012,11,27,1,4,5,3,9,2,1,10,1,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,511,0,12,1,178573,666140
2012000183,1,1,2,6600,706,,9999,,,,,,20,2012,12,3,1,4,5,2,9,3,1,9,1,0,1,1,3,3,6,,1,1,9,9,9,1,2,1,5,51,513,0,14,3,179018,659018
2012000184,1,1,1,8600,701,703,,40123,,,,,20,2012,12,3,1,4,5,2,9,3,1,9,1,0,1,1,3,3,6,7,1,1,9,9,7,0,0,9,5,51,512,0,14,1,182679,665359
2012000185,1,1,2,638,0,,9999,,,,,,51,2012,12,3,1,4,5,2,9,3,1,8,3,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,4,41,412,0,27,2,198051,688763
2012000188,1,1,2,2730,0,,9999,,,,,,51,2012,12,7,1,4,5,6,9,2,1,9,1,0,1,1,2,3,6,7,1,1,9,9,7,0,0,9,4,41,412,0,26,2,200163,685441
2012000189,1,1,2,6600,983,,20,,,,,,20,2012,12,11,1,4,5,3,9,3,1,9,0,3,1,1,0,3,3,,2,2,9,9,9,3,3,1,5,51,513,0,14,1,178457,656896
