Elders,Adults,Teen,x,y
0.210708117,0.490500864,0.298791019,201147.52,709972.0607
0.270627063,0.47689769,0.252475248,186760.553,695640.3095
0.244874715,0.469248292,0.285876993,200361.2056,707685.465
0.234152346,0.442030015,0.32381764,188390.2327,663143.6488
0.281412253,0.433021807,0.28556594,189893.751,663424.0099
0.233748271,0.46473029,0.301521438,183908.6522,680752.1156
0.209302326,0.445964432,0.344733242,190660.2774,694690.7176
0.214054927,0.454765751,0.331179321,174546.9148,633807.4743
0.3375,0.410416667,0.252083333,187302.2617,696380.5819
0.315159574,0.426861702,0.257978723,210827.3154,736580.7186
0.255434783,0.467391304,0.277173913,191305.8825,677992.5545
0.198884612,0.502474275,0.298641112,210054.2295,729138.0086
0.255010366,0.444367657,0.300621977,211036.1447,728916.1199
0.269457162,0.444081099,0.28646174,241517.8852,717384.1907
0.128498236,0.454262249,0.417239515,160457.8459,592170.0098
0.199236641,0.476335878,0.324427481,183602.5026,678548.2606
0.226628895,0.430594901,0.342776204,216940.0525,733480.2549
0.195945946,0.456756757,0.347297297,193009.9031,664837.8475
0.358124495,0.444624091,0.197251415,211534.4049,727865.2602
0.510288066,0.283950617,0.205761317,188040.8999,696791.3433
0.218045113,0.446616541,0.335338346,257329.4735,773009.2736
0.278037383,0.450934579,0.271028037,211118.5366,743994.2937
0.196969697,0.495867769,0.307162534,247440.5381,745178.5523
0.269230769,0.447552448,0.283216783,243299.3894,712195.5055
0.186086957,0.485217391,0.328695652,192626.7179,661197.9281
0.145265888,0.516212711,0.338521401,245528.1306,714653.6347
0.346101231,0.425444596,0.228454172,249346.5395,750414.8158
0.257617729,0.501385042,0.24099723,256417.449,732111.8396
0.361067504,0.423861852,0.215070644,256950.916,732533.1774
0.25,0.504166667,0.245833333,251646.4699,718092.8575
0.356027233,0.408490188,0.235482579,183287.8371,677054.8301
0.171052632,0.400219298,0.42872807,249874.0761,703086.7861
0.176421405,0.481605351,0.341973244,241743.6581,721276.378
0.336929461,0.466390041,0.196680498,209724.6126,722388.8266
0.31184669,0.5,0.18815331,252042.5728,711051.7057
0.291291291,0.460960961,0.247747748,260201.556,742949.0882
0.163991626,0.445219819,0.390788555,184379.9592,626549.817
0.138360429,0.483223798,0.378415773,192040.143,689482.0497
0.262645914,0.470817121,0.266536965,210995.2155,744576.3809
