lon,lat,s
34.87478093,32.18054195,20.00
34.87830451,32.17963127,21.00
34.82887536,32.17103547,78.00
34.81572217,32.18001351,80.00
34.87680778,32.18009633,77.00
34.79373214,31.37236174,85.00
34.85297568,32.16242059,3.00
34.90855905,32.17535007,89.00
34.80134696,32.14083131,53.00
34.87822067,31.92872399,77.00
34.79160918,31.76193234,61.00
34.86060391,32.32418296,97.00
34.85922263,32.19259328,78.00
34.85583811,32.19300783,15.00
34.81959372,31.87087968,61.00
34.59365523,31.51034428,47.00
34.69883631,31.33067121,38.00
34.90170472,31.30756299,42.00
34.86190552,32.28309325,18.00
34.86562281,32.29113799,67.00
34.91407614,32.26096839,25.00
34.9153275,32.26126884,66.00
34.7698211,32.0636243,23.00
34.8096176,31.90063615,76.00
34.80926579,31.90132945,72.00
34.80312144,31.91163597,66.00
34.79790616,31.92435299,76.00
34.78544918,31.92222933,64.00
34.77057813,31.92094392,96.00
34.80218093,32.01827163,89.00
34.80033985,32.01571369,31.00
34.79224711,32.01002434,36.00
34.88893164,32.32307568,24.00
34.79813308,31.25081788,15.00
34.79361785,31.24378669,16.00
34.80245862,31.90845949,55.00
34.79671591,31.2410277,52.00
34.79764722,31.23926291,92.00
34.79252233,31.2374067,9.00
34.80610684,31.24445734,48.00
34.80480286,31.24500345,15.00
35.1454807,31.66154428,38.00
34.857094,32.32556206,24.00
34.80360027,31.22651057,88.00
34.80460204,31.22040775,39.00
34.7987847,31.25555495,3.00
34.771601,31.2538699,14.00
34.88176221,32.31734941,68.00
34.7909765,31.24287632,44.00
34.7921875,31.24199634,89.00
34.79341955,31.24109837,68.00
34.78895557,31.24412345,38.00
34.78437224,31.25033171,76.00
34.79529351,31.24469394,31.00
34.79660854,31.24403071,37.00
34.79693476,31.24628652,55.00
34.78290421,32.06953916,55.00
34.7779364,32.06515787,95.00
34.77741415,32.06587754,57.00
34.77593265,32.06563808,3.00
34.77719061,32.0684018,88.00
34.77699328,32.06073591,33.00
34.79230037,32.06429459,33.00
34.79325251,32.09999052,60.00
34.86233346,32.2850332,28.00
34.85926972,32.27552928,22.00
34.8600568,32.27791209,92.00
34.86086471,32.28041218,35.00
34.8542585,32.03470363,21.00
34.77850562,32.06572791,41.00
34.78636529,32.06533025,80.00
34.78617981,32.08745956,86.00
34.7812447,32.08033707,68.00
34.86196039,32.34187011,91.00
34.81985197,31.25122743,65.00
34.81160467,31.24513265,18.00
34.8087637,31.24421301,84.00
