ped,year,x,y
0.271929825,2010,176423.4831,657968.8081
0.194630872,2010,182247.9274,664184.7933
0.123809524,2010,184092.1638,675213.4927
0.162857143,2010,191964.8863,705012.6646
0.165540541,2010,179547.8525,657938.5887
0.103448276,2010,249488.8046,743591.7782
0.080882353,2010,210144.2812,745681.4784
0.128301887,2010,192723.2892,676090.6946
0.314516129,2010,189790.68,650979.2926
0.134751773,2010,159183.2739,618811.6413
0.186813187,2010,180734.4016,647841.026
0.106741573,2010,227728.0189,734143.2878
0.175365344,2010,186926.721,690287.2458
0.027272727,2010,228479.8393,752272.2282
0.2,2010,208329.246,758645.1294
0.186567164,2010,227459.6876,724073.5691
0.080291971,2010,197819.0115,708950.571
0.165087957,2010,189330.9033,666948.3729
0.192307692,2010,247792.468,764037.3763
0.424242424,2010,208058.4158,749680.3738
0.147308782,2010,180285.3817,652959.1938
0.162637363,2010,182861.8575,644475.9211
0.302857143,2010,188065.9515,648252.092
0.204954955,2010,183799.2091,663693.3378
0.107594937,2010,187849.7638,677143.1302
0.056338028,2010,216417.3184,745668.617
0.235294118,2010,218174.2477,751017.3587
0.103163686,2010,179975.3102,573353.3219
0.289256198,2010,209576.4694,768554.9245
0.147058824,2010,247138.8652,711634.0844
0.3125,2010,196428.7174,719347.2143
0.25,2010,189533.9203,659908.3691
0.142857143,2010,209407.525,749073.2659
0.256097561,2010,207045.023,750441.7036
0.117021277,2010,189170.0528,672983.6101
0.2,2010,195299.4524,713965.2371
0,2011,251056.6139,763501.3077
0,2011,185249.3083,639415.0948
0.117647059,2011,163796.0529,579871.3594
0.083333333,2011,194965.9749,733200.043
0.14416476,2011,167582.8805,635675.818
0,2011,192480.4567,684407.1162
0.075,2011,173197.8992,633415.377
0.238095238,2011,193789.3813,691409.4079
0.03030303,2011,189481.6015,686635.7491
0.1875,2011,192057.2281,687138.921
0.75,2011,188390.2327,663143.6488
0.090909091,2011,210054.2295,729138.0086
0.276595745,2011,160457.8459,592170.0098
0,2011,183287.8371,677054.8301
0,2011,188437.1736,687179.7648
0.066666667,2011,183680.172,656296.0917
0.206896552,2011,183172.234,641066.4667
0.25,2011,210534.3263,634813.9596
0.076923077,2011,216186.6566,762891.9453
0.25,2011,230532.1016,731813.4439
0.208333333,2011,238961.93,754631.5461
0,2011,234847.6576,745917.4556
0,2011,217247.3271,760702.7561
0.166666667,2011,235172.6575,733041.7111
0,2011,234775.6209,751882.9747
0.2,2011,205114.7589,733223.1475
0.108695652,2011,226046.4249,732145.6787
0.032786885,2011,219146.3886,762117.0998
0.15,2011,219710.219,753010.6368
0.015873016,2011,215528.6721,762047.8286
0.144927536,2011,232340.1829,739237.707
0.034482759,2011,224991.2982,745985.5534
0,2011,224843.8341,735939.3819
0.040816327,2011,224263.7874,758418.507
1,2011,230244.8714,760042.0006
0,2011,218209.5981,747702.9541
0,2011,238039.1012,748962.1562
0.148148148,2011,231930.187,750705.8176
0.333333333,2011,195940.4572,722648.1341
0.064516129,2011,222939.5286,754909.8695
0.3,2011,191932.2477,715881.5537
0.28,2011,229724.1431,736118.36
0,2011,234657.9896,760394.3696
0.111111111,2011,181867.5257,659050.8326
0.222222222,2011,195924.5816,673075.2219
0,2011,197396.0549,670882.8685
0.058823529,2011,197056.5835,669377.863
0.043478261,2011,209237.5569,711628.0992
0.058823529,2011,198261.0333,688411.176
0.333333333,2011,204928.3823,712312.9808
0.058823529,2011,185279.8773,574781.8654
0.19047619,2011,186075.0373,664914.1637
0,2011,195276.407,663147.693
0.285714286,2011,223062.4398,731638.8091
0.2,2011,255953.3204,763666.7383
0.153846154,2011,221258.3241,735858.6397
0.285714286,2011,213484.9019,633641.3781
0.12987013,2011,192736.1735,712855.8218
0.172413793,2011,161853.6833,603953.7757
0.125,2011,175960.9805,626640.5975
0.285714286,2011,186825.9903,573009.0864
0.136363636,2011,230795.1149,734451.6386
0.25,2011,226247.7155,768737.2069
0,2011,177411.3946,633029.8046
