x,y,trafiic_signal
185977,666756,1
190843,675286,1
183416,666436,1
181743,665802,1
213389,668469,1
200348,745912,1
200281,746004,1
200388,746014,1
184440,662658,1
214382,630102,1
195243,673329,1
203095,743880,1
190866,675456,1
202390,744505,1
202360,745078,1
208099,751804,1
207746,751480,1
207718,751226,1
207212,750225,1
206774,749696,1
206375,748833,1
199927,747444,1
193736,651500,1
206176,748181,1
206237,748410,1
206589,749305,1
207735,750949,1
208609,749737,1
189854,677568,1
201282,745455,1
200433,745839,1
175015,624613,1
206335,748585,1
209197,751787,1
209130,751158,1
178092,654701,1
177685,655313,1
177633,655212,1
227683,729036,1
195224,673474,1
222354,634674,1
203816,742703,1
203508,742983,1
204056,742482,1
207994,749364,1
166716,635564,1
166631,635149,1
167805,633210,1
167946,632019,1
183123,656673,1
178461,647022,1
178788,653967,1
179479,653486,1
220976,627723,1
200426,744145,1
205063,741519,1
204568,742011,1
181207,645012,1
191270,677052,1
205199,741298,1
198383,562016,1
168600,632681,1
189550,650753,1
192140,671629,1
225449,769170,1
220382,627782,1
186674,646708,1
197665,679563,1
208910,768003,1
206623,711736,1
230949,726152,1
210148,729601,1
200562,746917,1
209433,766708,1
209413,766547,1
191077,669893,1
190957,670683,1
191038,669739,1
189686,666925,1
195555,654620,1
207673,758936,1
184921,666989,1
209102,764801,1
220368,733793,1
208913,758530,1
181909,652693,1
182320,652198,1
199033,745384,1
196964,743992,1
200114,743613,1
200214,743651,1
177857,663911,1
191602,677706,1
222793,721865,1
226174,758553,1
209859,741472,1
207600,740320,1
208587,740843,1
179112,574147,1
178082,573458,1
207850,748297,1
190497,579464,1
189457,647075,1
180451,572412,1
181024,572187,1
183269,644529,1
181439,664995,1
221490,757767,1
217346,757481,1
191991,678197,1
178928,650972,1
178380,650730,1
193562,715571,1
179272,662724,1
182683,668286,1
184851,669420,1
202646,743932,1
218761,630376,1
218621,630432,1
227465,726067,1
190387,667386,1
177760,645508,1
199702,742697,1
179839,579989,1
183549,570497,1
183699,570442,1
235232,728371,1
197221,744215,1
203288,743944,1
182201,611987,1
184943,634593,1
198948,638502,1
191324,656902,1
205251,745271,1
205057,745069,1
205781,747645,1
205643,747415,1
178139,656145,1
216139,751525,1
182522,652753,1
233609,760185,1
175774,641128,1
178324,619431,1
182483,653042,1
182868,653477,1
182316,653134,1
162680,591665,1
161524,617298,1
181603,667938,1
180586,665053,1
180215,664915,1
179334,657709,1
179192,657849,1
220918,633653,1
179738,662854,1
180186,665232,1
167410,632303,1
183979,667263,1
249222,744820,1
250869,744322,1
184863,668411,1
210234,729528,1
210138,729681,1
182596,674168,1
183909,667664,1
179992,658626,1
177999,662235,1
184214,670934,1
178515,647577,1
180309,664342,1
176687,657644,1
184471,671348,1
168227,631835,1
167372,634116,1
166972,632555,1
168986,637374,1
166493,634167,1
166726,634557,1
166064,633467,1
167129,635444,1
166421,635194,1
167737,633005,1
202497,743023,1
189090,648018,1
177532,660458,1
177510,660392,1
178285,664490,1
189846,675874,1
178990,663443,1
204554,745161,1
204512,745190,1
207117,745926,1
208752,746695,1
207048,746007,1
177450,662499,1
177467,662711,1
176944,660394,1
222468,637137,1
221637,632445,1
210383,731057,1
210481,730928,1
210526,730885,1
210403,730886,1
218782,629425,1
218860,628590,1
218830,627850,1
182802,649751,1
183208,650135,1
186574,650982,1
181694,644404,1
181678,644492,1
199107,644654,1
181802,644469,1
178807,655226,1
179293,660644,1
